Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785040974,50,,Aggregated,6.500000,6.100000,5,6,6,8,22,46,52,52,55,55,55,212,170,5,9.053757693728361,2.30620801448822,54.66108396649361,33.509433962264154
1785040975,50,,Aggregated,7.200000,6.700000,5,5,6,7,21,46,52,52,55,55,55,224,181,5,8.824770298815565,2.30620801448822,54.66108396649361,33.357142857142854
1785040976,50,,Aggregated,7.400000,6.800000,5,5,6,7,17,46,52,52,55,55,55,231,188,5,8.69651697374461,2.30620801448822,54.66108396649361,33.285714285714285
1785040977,50,,Aggregated,7.000000,6.400000,5,5,6,7,17,46,52,52,55,55,55,236,192,5,8.612049275898706,2.30620801448822,54.66108396649361,33.220338983050844
1785040978,50,,Aggregated,7.900000,7.300000,5,5,6,7,17,46,52,52,55,55,55,243,198,5,8.47924316068153,2.30620801448822,54.66108396649361,33.13991769547325
1785040979,50,,Aggregated,7.400000,6.800000,5,5,6,7,17,46,52,52,55,55,55,251,205,5,8.35379285216554,2.30620801448822,54.66108396649361,33.05577689243028
1785040980,50,,Aggregated,7.400000,6.700000,5,5,6,7,17,45,52,52,55,55,55,262,210,5,8.396537079145237,2.30620801448822,54.66108396649361,33.545801526717554
1785040981,50,,Aggregated,7.200000,6.500000,5,6,6,8,17,45,52,52,55,55,55,280,218,5,8.47910999270555,2.30620801448822,54.66108396649361,34.364285714285714
1785040982,50,,Aggregated,7.500000,6.800000,5,6,6,9,17,45,52,52,55,55,55,292,222,5,8.53908706491507,2.30620801448822,54.66108396649361,34.83561643835616
1785040983,50,,Aggregated,8.400000,6.800000,5,6,6,8,17,25,52,52,55,55,55,303,230,5,8.387988742145867,2.30620801448822,54.66108396649361,34.65676567656766
1785040984,50,,Aggregated,9.000000,6.500000,5,6,6,8,16,25,52,52,55,55,55,311,237,5,8.31004409935517,2.30620801448822,54.66108396649361,34.549839228295816
1785040985,50,,Aggregated,9.300000,6.300000,5,6,6,8,16,25,52,52,55,55,55,312,237,5,8.307763377953775,2.30620801448822,54.66108396649361,34.52564102564103
1785040986,50,,Aggregated,9.300000,6.300000,5,6,6,8,16,25,52,52,55,55,55,313,237,5,8.303235910205057,2.30620801448822,54.66108396649361,34.501597444089455
1785040987,50,,Aggregated,9.900000,6.700000,5,6,6,8,16,23,52,52,55,55,55,322,246,5,8.187763090317734,2.30620801448822,54.66108396649361,34.40372670807454
1785040988,50,,Aggregated,8.600000,5.300000,5,6,6,8,16,23,52,52,55,55,55,333,257,5,8.098019032135001,2.30620801448822,54.66108396649361,34.291291291291294
1785040989,50,,Aggregated,8.100000,4.800000,5,6,6,7,16,22,52,52,55,55,55,345,268,5,7.962635880930052,2.30620801448822,54.66108396649361,34.165217391304346
1785040990,50,,Aggregated,8.600000,5.400000,5,6,6,7,16,22,52,52,55,55,55,352,275,5,7.919742201589873,2.30620801448822,54.66108396649361,34.10227272727273
1785040991,50,,Aggregated,9.100000,6.000000,5,6,6,7,16,22,52,52,55,55,55,358,279,5,7.87292506387093,2.30620801448822,54.66108396649361,34.02793296089386
1785040992,50,,Aggregated,9.400000,6.300000,5,6,6,7,16,22,52,52,55,55,55,365,284,5,7.825382550132193,2.30620801448822,54.66108396649361,33.94794520547945
1785040993,50,,Aggregated,8.500000,6.200000,5,6,6,7,16,22,52,52,55,55,55,368,287,5,7.796659436755125,2.30620801448822,54.66108396649361,33.92391304347826
1785040994,50,,Aggregated,7.700000,6.200000,5,6,6,7,16,22,52,52,55,55,55,382,298,5,7.675277938973646,2.30620801448822,54.66108396649361,33.78534031413613
1785040995,50,,Aggregated,7.100000,6.000000,5,6,6,7,16,22,52,52,55,55,55,390,305,5,7.622321491511777,2.30620801448822,54.66108396649361,33.717948717948715
1785040996,50,,Aggregated,6.700000,5.900000,5,6,6,7,15,22,52,52,55,55,55,395,310,5,7.575802758772256,2.30620801448822,54.66108396649361,33.68354430379747
1785040997,50,,Aggregated,7.200000,6.200000,5,6,6,7,15,22,48,52,55,55,55,408,319,5,7.506325484000092,2.30620801448822,54.66108396649361,33.55882352941177
1785040998,50,,Aggregated,7.800000,6.900000,5,6,6,7,15,22,48,52,55,55,55,415,325,5,7.464556339062212,2.30620801448822,54.66108396649361,33.506024096385545
1785040999,50,,Aggregated,8.300000,7.400000,5,6,6,7,15,22,48,52,55,55,55,420,329,5,7.436642473164413,2.30620801448822,54.66108396649361,33.46666666666667
1785041000,50,,Aggregated,8.700000,7.400000,5,6,6,7,15,22,48,52,55,55,55,426,334,5,7.402564858593606,2.30620801448822,54.66108396649361,33.42253521126761
1785041001,50,,Aggregated,8.200000,6.800000,5,6,6,7,13,22,48,52,55,55,55,438,344,5,7.3412034929555645,2.30620801448822,54.66108396649361,33.337899543378995
1785041002,50,,Aggregated,7.500000,6.100000,5,6,6,7,13,21,48,52,55,55,55,446,350,5,7.298744964098032,2.30620801448822,54.66108396649361,33.2780269058296
1785041003,50,,Aggregated,7.300000,5.900000,5,6,6,7,13,21,46,52,55,55,55,454,354,5,7.261684387747921,2.30620801448822,54.66108396649361,33.202643171806166
1785041004,50,,Aggregated,8.000000,6.400000,5,6,6,7,13,19,46,52,55,55,55,463,362,5,7.218275838491324,2.30620801448822,54.66108396649361,33.1511879049676
1785041005,50,,Aggregated,8.200000,6.600000,5,6,6,6,12,19,46,52,55,55,55,473,371,5,7.170648086888924,2.30620801448822,54.66108396649361,33.09725158562368
1785041006,50,,Aggregated,8.400000,6.500000,5,6,6,7,12,19,46,52,55,55,55,479,374,5,7.157946248744889,2.30620801448822,54.66108396649361,33.045929018789145
1785041007,50,,Aggregated,8.300000,6.600000,5,6,6,7,12,19,46,52,55,55,55,484,377,5,7.142405308040305,2.30620801448822,54.66108396649361,33.00826446280992
1785041008,50,,Aggregated,8.300000,6.600000,5,6,6,6,12,19,46,52,55,55,55,494,386,5,7.098206061104441,2.30620801448822,54.66108396649361,32.959514170040485
1785041009,50,,Aggregated,8.300000,6.300000,5,6,6,6,12,18,46,52,55,55,55,504,395,5,7.066100124142221,2.30620801448822,54.66108396649361,32.91269841269841
1785041010,50,,Aggregated,7.500000,5.700000,5,6,6,6,12,18,46,52,55,55,55,510,400,5,7.045370840248378,2.30620801448822,54.66108396649361,32.88235294117647
1785041011,50,,Aggregated,7.700000,5.900000,5,6,6,6,11,17,46,52,55,55,55,521,410,5,6.994223056339629,2.30620801448822,54.66108396649361,32.83493282149712
